match_id,match_number,date,team,opponent,is_home,goals_for,goals_against,result,points,xg,pass_completion_pct,completed_line_breaks,defensive_line_breaks,final_third_receptions,crosses,ball_progressions,forced_turnovers,second_balls,distance_km,zone4_sprint_km,attempts,attempts_on_target,total_passes,completed_passes,defensive_pressures,direct_pressures,possession_pct,possession_contest_pct,xg_against,attempts_against,attempts_on_target_against,source_url,pdf_file
2026_M001,1,2026-06-11,Mexico,South Africa,True,2,0,W,3,1.78,90,105,10,117,13,23,31,56,107.3,5.3,16,4,547,495,170,26,57.1,6.8,0.1,3,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01 MEX V RSA.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M001_PMSR-M01_MEX_V_RSA.pdf
2026_M001,1,2026-06-11,South Africa,Mexico,False,0,2,L,0,0.1,83,57,3,36,8,8,32,45,97.1,5.1,3,2,351,290,306,45,36.1,6.8,1.78,16,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M01 MEX V RSA.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M001_PMSR-M01_MEX_V_RSA.pdf
2026_M002,2,2026-06-11,Korea Republic,Czechia,True,2,1,W,3,1.77,89,92,10,125,17,27,30,49,111.8,5.4,15,6,542,483,147,22,55.8,10.1,0.64,7,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02 KOR V CZE .pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M002_PMSR-M02_KOR_V_CZE_.pdf
2026_M002,2,2026-06-11,Czechia,Korea Republic,False,1,2,L,0,0.64,74,54,5,77,15,10,40,78,117.6,6.0,7,4,327,241,301,54,34.2,10.1,1.77,15,6,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M02 KOR V CZE .pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M002_PMSR-M02_KOR_V_CZE_.pdf
2026_M003,3,2026-06-12,Canada,Bosnia and Herzegovina,True,1,1,D,1,1.49,77,84,16,143,30,30,50,94,111.3,5.8,13,4,412,316,160,38,52.8,17.3,0.76,8,3,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M003_PMSR-M03-CAN-V-BIH-V2.pdf
2026_M003,3,2026-06-12,Bosnia and Herzegovina,Canada,False,1,1,D,1,0.76,67,61,4,51,8,22,51,79,109.5,5.2,8,3,279,186,203,35,29.9,17.3,1.49,13,4,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M03-CAN-V-BIH-V2.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M003_PMSR-M03-CAN-V-BIH-V2.pdf
2026_M004,4,2026-06-12,USA,Paraguay,True,4,1,W,3,1.88,86,129,25,201,23,52,50,101,119.9,6.2,16,6,602,520,204,39,59.5,11.8,0.6,9,1,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M004_PMSR-M04-USA-V-PAR.pdf
2026_M004,4,2026-06-12,Paraguay,USA,False,1,4,L,0,0.6,74,53,3,31,5,17,49,55,114.3,6.1,9,1,316,234,360,75,28.7,11.8,1.88,16,6,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M04-USA-V-PAR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M004_PMSR-M04-USA-V-PAR.pdf
2026_M005,5,2026-06-13,Haiti,Scotland,True,0,1,L,0,0.7,88,84,4,116,26,24,29,53,113.7,5.9,15,2,431,378,185,35,51.6,7.9,0.91,9,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M005_PMSR-M05-HAI-V-SCO.pdf
2026_M005,5,2026-06-13,Scotland,Haiti,False,1,0,W,3,0.91,82,86,6,77,16,21,35,52,117.6,5.9,9,2,397,324,230,39,40.5,7.9,0.7,15,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M05-HAI-V-SCO.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M005_PMSR-M05-HAI-V-SCO.pdf
